Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity
734f87c71ec301e638e2716f6a044d18,0,1,1,1,0,0,0,0,0,0,0,0,28
20817c6d22d95f277c8eaea3e8379bf8,0,1,1,0,0,0,0,0,0,0,0,0,56
4f17201d3cfe333a67c18cfb84cdc64c,0,1,1,1,0,0,0,0,0,1,0,0,18
191a55d9d4dcf2f39df0f6e0c31ad43f,1,1,1,1,0,0,0,0,0,0,0,0,2
8e15ee504b4ac6df525525ab54728ae6,0,1,1,1,0,0,0,0,0,0,0,0,35
658c0eeeaf4ceed96c628d00215e0777,0,0,0,1,0,0,1,0,0,0,1,0,79
b458ea6f022734fa26a2806c74de733a,0,1,1,1,0,0,0,0,0,0,0,0,27
7f6c759bc836e8c7334c515b4fce24f8,0,1,1,1,0,0,0,0,0,0,0,0,33
cd26e9092735a1d4671e151cd612b8c9,0,1,1,1,0,1,0,0,0,0,0,0,68
797df3217446c7e00215da9b7181044e,0,1,1,1,0,0,0,0,0,0,0,0,36
15819ed0b5c7037168999069cce8eb29,0,0,0,1,0,1,0,0,0,0,0,0,22
54edeba08823bf6a4ee8ba968ac351c7,0,0,1,1,0,0,0,0,0,0,0,1,43
bbf4577c3bc56e235c2eb4ddc7526927,0,0,0,1,0,1,0,0,0,0,0,0,32
a40aed49f5fabcee7745a5b3663a3afe,0,1,1,1,0,0,0,0,0,0,0,0,40
f211e09c0a958f574cbe1a736d117efe,0,1,1,1,0,0,1,0,0,0,0,0,2
f0e363d577ccf921339f6b27a9a85a21,0,1,1,0,0,0,0,0,0,0,0,0,44
7b95421836eb0029ff757e05bb77256f,0,1,1,1,0,0,0,0,0,0,0,0,23
99b0131884ce44bec548e586412c0d07,0,0,1,1,0,0,0,0,0,0,0,0,100
d5b30d7f811ca6225d16266e3e1c1467,0,1,1,1,0,0,0,0,1,1,0,0,29
7e761f47cc1e3038a431f9f196234ab9,0,1,1,1,0,0,0,0,0,1,0,0,100
562c19b150a2ad83c75a22fb81e6513a,0,1,1,0,0,0,0,0,0,0,0,0,2
69f220c89b092e2f807f895ef44e406c,0,1,1,1,0,0,0,0,0,0,0,0,28
1d210a2181cb80b51e58ef83ab8e350b,0,1,1,1,0,0,0,0,0,0,0,0,43
c07d1dc8e2fbe1d8acb0807747df0ab1,0,0,0,1,0,0,0,0,0,1,1,0,4
721d316084ff00ac1e81124d021357ee,0,0,1,1,0,0,0,0,0,0,0,1,26
99b7a875a6bda53517bfc380a0b589ce,0,1,1,1,0,0,0,0,0,0,0,0,30
bd6e9c6445173b13f2dc740cd65c87e0,0,1,1,1,0,0,0,0,0,0,0,0,14
317d421173295114d0078880da449802,0,0,1,0,0,0,1,0,0,0,0,0,27
5840bff96ae3cb3d5ee634178668b8ef,0,1,1,1,0,0,0,0,0,0,0,0,25
d4b3b181788ed2231dcee96da13547b3,0,1,1,1,0,0,0,0,0,0,0,0,30
b7fbc655db512d652d018e5d27e8d465,0,1,1,1,0,0,0,1,0,1,1,0,27
f3924e0e9e8f13229caadad355fd2497,0,1,1,0,0,0,1,0,0,0,0,0,50
0609532bb4a5b24db33707ff9fe100e1,0,1,1,1,0,0,0,0,1,1,1,0,42
8452dd238b94aa62c51bb4bddcfed3b5,0,0,1,1,0,0,0,0,0,0,0,1,100
b7fff1563d0b4f56da0253235930a736,0,0,0,1,0,0,0,0,0,0,0,0,21
fcefaa4e130f29fff2bf9b64749723ce,0,1,1,1,0,0,0,0,0,1,0,0,23
105b5c5dd082da3221769c07d8c33d92,1,1,1,1,0,0,0,0,0,0,0,0,55
02c91a9f0d7a8c0f58a51d52d158ac50,0,1,1,1,0,1,0,0,0,0,0,0,43
ebda055ba833e589065a7b8ede821067,0,1,1,1,0,0,0,0,0,0,0,0,20
37501a8c83cfe9dd7ee74bfabf731f3e,0,0,1,1,0,0,0,0,1,1,0,0,42
539880b8ba2334b1dcb9d8a3eefba76b,0,1,1,1,0,0,0,0,0,0,0,0,24
7ee35b83aeae89bfe0fa2b3135d4093d,0,1,1,1,0,1,0,0,0,0,0,0,23
3014e85aa5e809e89b8b6229d20d1c14,0,1,1,1,0,1,1,1,0,0,1,0,80
aff0f963d24f0e5b25499e4acdaacca6,0,1,1,1,0,1,0,0,0,0,0,0,36
1145deb71a1bb9ecb66ceca652291d1e,0,0,1,1,0,0,0,0,0,1,1,1,25
e0a66dce67d48c2ec07b49eba10f9f5f,0,1,1,0,0,0,0,0,0,0,0,0,26
0067aaaa500b530c76b9c91af34b4cb8,0,1,1,1,0,0,0,0,0,0,0,0,98
77364a67ce5dfe7f1143069f21150959,0,1,1,1,0,0,1,0,1,0,0,0,29
03e6217d0b35a021c6150429991acccd,0,1,1,1,0,0,0,0,1,1,0,0,22
e7bb61a6630101aad7d24ca1e8741788,0,1,1,1,0,0,0,0,0,0,0,0,54
9d8718af8b0f3ecf0be17b68c90db305,0,1,1,1,0,0,0,0,0,0,0,0,35
f3a4f7954e7d072e1be6adb0a9d347aa,0,1,1,1,0,0,0,0,0,0,0,0,13
a34456cf83aed918e07b4c0aee35da68,0,1,1,1,0,1,0,0,0,0,1,0,48
c752554c44413fdfaa99fbb865047c31,0,0,1,1,0,0,0,0,0,0,0,0,34
0aa20c32757cef192e2981aa5f8a6bb4,0,0,0,1,0,0,0,0,0,0,0,0,96
8f20c67f8b1230d1488138e2adbb0e64,0,1,1,1,0,0,0,0,0,0,0,0,27
a06995f3c4cb63b6db4a584e60d361a0,0,0,0,1,0,0,0,0,0,0,1,0,48
deafe51afbd1e5b74f6f54ea363b8cf2,0,1,1,1,0,0,0,0,0,0,0,0,15
79a1e271d616d36e192d210f2fa533a5,0,0,0,1,0,0,0,0,0,0,0,0,63
02a5a6417e5eb9694203e348741f76d0,0,1,1,1,0,0,0,0,0,0,0,0,49
9e0dd6b026bd0b74492c13f0c481fa71,0,1,1,1,0,0,0,0,0,0,0,0,25
e5452e4ddb6acea8be708734a3a675cc,0,1,1,1,0,0,0,0,0,0,0,0,20
325507e895d0855ef22de331f954ed65,0,1,1,0,0,0,0,0,0,0,0,0,34
160433556b4c25e34757a83c1b2ad22e,0,1,1,1,0,0,0,1,1,1,1,0,33
22f565a0fcac67385ba13f1e6a4d361d,0,1,1,1,0,0,0,0,0,0,0,0,25
70fb4e11b1a42d9079b14305ffad6b2e,0,1,1,1,0,0,0,0,0,0,0,0,26
748207dee144c43cffe948e942ec8693,0,1,1,1,0,0,0,0,0,0,0,0,38
386cc083790137e3197f3b4b3d99b97c,0,1,1,1,0,0,0,0,0,0,0,0,43
d4043790ba5cc0d41d3da12ed48d5f19,0,1,1,0,0,0,1,0,0,0,0,0,57
6dfb5b910adb5929cac883cfaf7636a5,0,0,0,0,0,0,1,0,0,0,0,0,57
2c2b2d98e3941e3a81485a74199da16b,0,0,1,1,0,0,0,0,0,0,0,1,49
c476d3bed3007caf763d447cef5aa600,0,1,1,0,0,0,0,0,0,0,0,0,19
8d4e86a647d3746306bda832c4b7320d,0,1,1,1,0,0,1,0,0,0,0,0,28
77633616a0fc67bc28c569f57e37f2f9,0,1,1,1,0,0,0,0,0,0,0,0,64
a2e5617fbddfe65afc8eb00368dfa45e,0,1,1,0,0,0,0,1,0,0,1,0,54
a0109558620e78b4c63dbcfa966bbb1e,0,1,1,1,0,0,1,0,0,0,0,0,33
d19f2d9ba23bb6dd460cc6bc5ea674ef,0,1,1,0,0,0,0,1,0,1,0,0,33
02715d2f51385785febaccc52b7138b7,0,1,1,1,0,0,0,0,0,0,0,0,19
